"state_name","avg_pm10","avg_pm25","avg_no2","pm10_rank","pm25_rank","no2_rank","urgency_index"
"Illinois",22.125,9.25,26.25,6,3,1,3
"Maryland",12.25,8.125,25.625,40,19,2,20
"New York",16.125,6.58333333333333,21.875,27,35,3,22
"Arizona",26.375,7.3375,20.5625,2,28,4,11
"Colorado",18.8549107142857,6.5625,19.8125,17,36,5,19
"Connecticut",11.5625,6.9375,19.625,42,34,6,27
"Missouri",24.1875,8.58333333333333,18.5625,4,11,7,7
"Nevada",21,8.0625,18.4375,7,21,8,12
"Georgia",17.25,8.6375,17.2857142857143,21,9,9,13
"Wisconsin",11.6875,7.69444444444444,17,41,26,10,26
"Michigan",18.125,7.88888888888889,15.9375,19,24,11,18
"Ohio",16.61875,8.46306818181818,15.75,24,14,12,17
"Massachusetts",10.9583333333333,6.20833333333333,15.2083333333333,43,41,13,32
"Indiana",16.875,8.90625,15.0714285714286,22,6,14,14
"Oregon",13.5,9.8125,14.875,36,2,15,18
"Utah",19.9583333333333,7.70833333333333,14.875,12,25,16,18
"Tennessee",NA,8.25,14.3125,50,16,17,28
"California",25.054347826087,10.0636182336182,13.9557806324111,3,1,18,7
"Oklahoma",20.375,8.71875,13.25,10,8,19,12
"Maine",14.5416666666667,NA,13.25,33,49,20,34
"Pennsylvania",14.8482142857143,8.96497252747253,12.9583333333333,32,5,21,19
"North Carolina",12.875,7.6,12.5,39,27,22,29
"Rhode Island",13.25,6.5,12.375,38,38,23,33
"Arkansas",17.25,8.625,12.25,20,10,24,18
"Minnesota",19.6875,6.3,11.75,15,39,25,26
"Vermont",6.25,5.875,11.75,45,43,26,38
"New Mexico",27.6875,6.29166666666667,11.675,1,40,27,23
"Virginia",10.7291666666667,7.125,11.53125,44,31,28,34
"Louisiana",18.1875,8.02777777777778,11.0416666666667,18,22,29,23
"South Carolina",15.25,7.95,10.1458333333333,31,23,30,28
"Kansas",19.7916666666667,8.5,10,13,12,31,19
"South Dakota",19.7083333333333,6.09375,9.875,14,42,32,29
"Kentucky",14.375,8.5,9.5625,34,13,33,27
"Florida",16.4045138888889,7.11363636363636,9.53125,26,32,34,31
"West Virginia",15.875,8.27901785714286,9.375,28,15,35,26
"Texas",23.5714285714286,8.98214285714286,8.79305555555556,5,4,36,15
"Iowa",20.0833333333333,8.23263888888889,8.0625,11,17,37,22
"Mississippi",NA,NA,7.375,47,50,38,45
"North Dakota",15.625,5.54166666666667,7.25,30,44,39,38
"Hawaii",13.375,4.125,6.25,37,47,40,41
"Wyoming",13.7142857142857,5.29464285714286,4.9875,35,45,41,40
"Washington",16.625,8.8125,NA,23,7,42,24
"Alabama",16.4375,8.22361111111111,NA,25,18,43,29
"Montana",19.5833333333333,8.09375,NA,16,20,44,27
"Alaska",15.6875,7.16666666666667,NA,29,29,45,34
"Delaware",NA,7.14285714285714,NA,46,30,46,41
"New Jersey",NA,7.0625,NA,49,33,47,43
"Nebraska",20.75,6.52083333333333,NA,9,37,48,31
"New Hampshire",NA,5.15625,NA,48,46,49,48
"Idaho",20.8125,NA,NA,8,48,50,35
